type,path
test,nw/timex2norm/AFP_ENG_20030401.0476
test,nw/timex2norm/AFP_ENG_20030413.0098
test,nw/timex2norm/AFP_ENG_20030415.0734
test,nw/timex2norm/AFP_ENG_20030417.0004
test,nw/timex2norm/AFP_ENG_20030417.0307
test,nw/timex2norm/AFP_ENG_20030417.0764
test,nw/timex2norm/AFP_ENG_20030418.0556
test,nw/timex2norm/AFP_ENG_20030425.0408
test,nw/timex2norm/AFP_ENG_20030427.0118
test,nw/timex2norm/AFP_ENG_20030428.0720
test,nw/timex2norm/AFP_ENG_20030429.0007
test,nw/timex2norm/AFP_ENG_20030430.0075
test,nw/timex2norm/AFP_ENG_20030502.0614
test,nw/timex2norm/AFP_ENG_20030504.0248
test,nw/timex2norm/AFP_ENG_20030508.0118
test,nw/timex2norm/AFP_ENG_20030508.0357
test,nw/timex2norm/AFP_ENG_20030509.0345
test,nw/timex2norm/AFP_ENG_20030514.0706
test,nw/timex2norm/AFP_ENG_20030519.0049
test,nw/timex2norm/AFP_ENG_20030519.0372
test,nw/timex2norm/AFP_ENG_20030522.0878
test,nw/timex2norm/AFP_ENG_20030527.0616
test,nw/timex2norm/AFP_ENG_20030528.0561
test,nw/timex2norm/AFP_ENG_20030530.0132
test,nw/timex2norm/AFP_ENG_20030601.0262
test,nw/timex2norm/AFP_ENG_20030607.0030
test,nw/timex2norm/AFP_ENG_20030616.0715
test,nw/timex2norm/AFP_ENG_20030617.0846
test,nw/timex2norm/AFP_ENG_20030625.0057
test,nw/timex2norm/AFP_ENG_20030630.0271
test,nw/timex2norm/APW_ENG_20030304.0555
test,nw/timex2norm/APW_ENG_20030306.0191
test,nw/timex2norm/APW_ENG_20030308.0314
test,nw/timex2norm/APW_ENG_20030310.0719
test,nw/timex2norm/APW_ENG_20030311.0775
test,nw/timex2norm/APW_ENG_20030318.0689
test,nw/timex2norm/APW_ENG_20030319.0545
test,nw/timex2norm/APW_ENG_20030322.0119
test,nw/timex2norm/APW_ENG_20030324.0768
test,nw/timex2norm/APW_ENG_20030325.0786
dev,bc/timex2norm/CNN_CF_20030303.1900.02
dev,bc/timex2norm/CNN_IP_20030329.1600.00-2
dev,bc/timex2norm/CNN_IP_20030402.1600.00-1
dev,bc/timex2norm/CNN_IP_20030405.1600.01-1
dev,bc/timex2norm/CNN_IP_20030409.1600.02
dev,un/timex2norm/marcellapr_20050228.2219
dev,un/timex2norm/rec.games.chess.politics_20041216.1047
dev,un/timex2norm/rec.games.chess.politics_20041217.2111
dev,un/timex2norm/soc.org.nonprofit_20050218.1902
dev,wl/timex2norm/FLOPPINGACES_20050217.1237.014
dev,wl/timex2norm/AGGRESSIVEVOICEDAILY_20041116.1347
dev,wl/timex2norm/FLOPPINGACES_20041117.2002.024
dev,wl/timex2norm/FLOPPINGACES_20050203.1953.038
dev,wl/timex2norm/TTRACY_20050223.1049
dev,bn/timex2norm/CNNHL_ENG_20030304_142751.10
dev,bn/timex2norm/CNNHL_ENG_20030424_123502.25
dev,bn/timex2norm/CNNHL_ENG_20030513_220910.32
dev,bn/timex2norm/CNN_ENG_20030304_173120.16
dev,bn/timex2norm/CNN_ENG_20030328_150609.10
dev,bn/timex2norm/CNN_ENG_20030424_070008.15
dev,bn/timex2norm/CNN_ENG_20030512_170454.13
dev,bn/timex2norm/CNN_ENG_20030620_085840.7
dev,nw/timex2norm/AFP_ENG_20030304.0250
dev,nw/timex2norm/AFP_ENG_20030305.0918
dev,nw/timex2norm/AFP_ENG_20030311.0491
dev,nw/timex2norm/AFP_ENG_20030314.0238
dev,nw/timex2norm/AFP_ENG_20030319.0879
dev,nw/timex2norm/AFP_ENG_20030320.0722
dev,nw/timex2norm/AFP_ENG_20030327.0022
dev,nw/timex2norm/AFP_ENG_20030327.0224
train,bc/timex2norm/CNN_CF_20030303.1900.00
train,bc/timex2norm/CNN_CF_20030303.1900.05
train,bc/timex2norm/CNN_CF_20030303.1900.06-1
train,bc/timex2norm/CNN_CF_20030303.1900.06-2
train,bc/timex2norm/CNN_CF_20030304.1900.02
train,bc/timex2norm/CNN_CF_20030304.1900.04
train,bc/timex2norm/CNN_CF_20030304.1900.06-2
train,bc/timex2norm/CNN_CF_20030305.1900.00-1
train,bc/timex2norm/CNN_CF_20030305.1900.00-2
train,bc/timex2norm/CNN_CF_20030305.1900.00-3
train,bc/timex2norm/CNN_CF_20030305.1900.02
train,bc/timex2norm/CNN_CF_20030305.1900.06-1
train,bc/timex2norm/CNN_CF_20030305.1900.06-2
train,bc/timex2norm/CNN_IP_20030328.1600.07
train,bc/timex2norm/CNN_IP_20030329.1600.00-3
train,bc/timex2norm/CNN_IP_20030329.1600.00-4
train,bc/timex2norm/CNN_IP_20030329.1600.00-5
train,bc/timex2norm/CNN_IP_20030329.1600.00-6
train,bc/timex2norm/CNN_IP_20030329.1600.01-1
train,bc/timex2norm/CNN_IP_20030329.1600.01-3
train,bc/timex2norm/CNN_IP_20030329.1600.02
train,bc/timex2norm/CNN_IP_20030330.1600.05-2
train,bc/timex2norm/CNN_IP_20030330.1600.06
train,bc/timex2norm/CNN_IP_20030402.1600.00-2
train,bc/timex2norm/CNN_IP_20030402.1600.00-3
train,bc/timex2norm/CNN_IP_20030402.1600.00-4
train,bc/timex2norm/CNN_IP_20030402.1600.02-1
train,bc/timex2norm/CNN_IP_20030402.1600.02-2
train,bc/timex2norm/CNN_IP_20030403.1600.00-1
train,bc/timex2norm/CNN_IP_20030403.1600.00-2
train,bc/timex2norm/CNN_IP_20030403.1600.00-3
train,bc/timex2norm/CNN_IP_20030403.1600.00-4
train,bc/timex2norm/CNN_IP_20030404.1600.00-1
train,bc/timex2norm/CNN_IP_20030404.1600.00-2
train,bc/timex2norm/CNN_IP_20030405.1600.00-2
train,bc/timex2norm/CNN_IP_20030405.1600.00-3
train,bc/timex2norm/CNN_IP_20030405.1600.01-2
train,bc/timex2norm/CNN_IP_20030405.1600.01-3
train,bc/timex2norm/CNN_IP_20030405.1600.02
train,bc/timex2norm/CNN_IP_20030406.1600.03
train,bc/timex2norm/CNN_IP_20030407.1600.05
train,bc/timex2norm/CNN_IP_20030408.1600.03
train,bc/timex2norm/CNN_IP_20030408.1600.04
train,bc/timex2norm/CNN_IP_20030409.1600.04
train,bc/timex2norm/CNN_IP_20030410.1600.03-1
train,bc/timex2norm/CNN_IP_20030410.1600.03-2
train,bc/timex2norm/CNN_IP_20030412.1600.03
train,bc/timex2norm/CNN_IP_20030412.1600.05
train,bc/timex2norm/CNN_IP_20030414.1600.04
train,bc/timex2norm/CNN_IP_20030417.1600.06
train,bc/timex2norm/CNN_IP_20030422.1600.05
train,bc/timex2norm/CNN_LE_20030504.1200.01
train,bc/timex2norm/CNN_LE_20030504.1200.02-1
train,bc/timex2norm/CNN_LE_20030504.1200.02-2
train,bn/timex2norm/CNNHL_ENG_20030312_150218.13
train,bn/timex2norm/CNNHL_ENG_20030331_193419.9
train,bn/timex2norm/CNNHL_ENG_20030402_133449.22
train,bn/timex2norm/CNNHL_ENG_20030402_193443.5
train,bn/timex2norm/CNNHL_ENG_20030403_133453.21
train,bn/timex2norm/CNNHL_ENG_20030403_193455.30
train,bn/timex2norm/CNNHL_ENG_20030407_193547.5
train,bn/timex2norm/CNNHL_ENG_20030411_230640.38
train,bn/timex2norm/CNNHL_ENG_20030415_193729.5
train,bn/timex2norm/CNNHL_ENG_20030416_133739.13
train,bn/timex2norm/CNNHL_ENG_20030416_133739.9
train,bn/timex2norm/CNNHL_ENG_20030416_193742.26
train,bn/timex2norm/CNNHL_ENG_20030416_193742.7
train,bn/timex2norm/CNNHL_ENG_20030416_230741.33
train,bn/timex2norm/CNNHL_ENG_20030425_183518.12
train,bn/timex2norm/CNNHL_ENG_20030428_123600.14
train,bn/timex2norm/CNNHL_ENG_20030429_220618.15
train,bn/timex2norm/CNNHL_ENG_20030430_220712.37
train,bn/timex2norm/CNNHL_ENG_20030505_220734.25
train,bn/timex2norm/CNNHL_ENG_20030513_183907.5
train,bn/timex2norm/CNNHL_ENG_20030513_220910.11
train,bn/timex2norm/CNNHL_ENG_20030519_124020.23
train,bn/timex2norm/CNNHL_ENG_20030523_221118.14
train,bn/timex2norm/CNNHL_ENG_20030526_221156.39
train,bn/timex2norm/CNNHL_ENG_20030603_230307.3
train,bn/timex2norm/CNNHL_ENG_20030604_230238.5
train,bn/timex2norm/CNNHL_ENG_20030609_133335.37
train,bn/timex2norm/CNNHL_ENG_20030610_133347.6
train,bn/timex2norm/CNNHL_ENG_20030610_230438.14
train,bn/timex2norm/CNNHL_ENG_20030611_133445.24
train,bn/timex2norm/CNNHL_ENG_20030616_230155.28
train,bn/timex2norm/CNNHL_ENG_20030616_230155.7
train,bn/timex2norm/CNNHL_ENG_20030618_230303.36
train,bn/timex2norm/CNNHL_ENG_20030618_230303.6
train,bn/timex2norm/CNNHL_ENG_20030624_133331.33
train,bn/timex2norm/CNNHL_ENG_20030624_230338.34
train,bn/timex2norm/CNNHL_ENG_20030625_193346.7
train,bn/timex2norm/CNNHL_ENG_20030625_230351.4
train,bn/timex2norm/CNN_ENG_20030305_170125.1
train,bn/timex2norm/CNN_ENG_20030306_070606.18
train,bn/timex2norm/CNN_ENG_20030306_083604.6
train,bn/timex2norm/CNN_ENG_20030312_083725.3
train,bn/timex2norm/CNN_ENG_20030312_223733.14
train,bn/timex2norm/CNN_ENG_20030313_083739.0
train,bn/timex2norm/CNN_ENG_20030318_140851.8
train,bn/timex2norm/CNN_ENG_20030320_153434.7
train,bn/timex2norm/CNN_ENG_20030325_150531.10
train,bn/timex2norm/CNN_ENG_20030325_220534.6
train,bn/timex2norm/CNN_ENG_20030327_163556.20
train,bn/timex2norm/CNN_ENG_20030329_170349.7
train,bn/timex2norm/CNN_ENG_20030331_123648.4
train,bn/timex2norm/CNN_ENG_20030331_193655.14
train,bn/timex2norm/CNN_ENG_20030401_073033.14
train,bn/timex2norm/CNN_ENG_20030401_233449.5
train,bn/timex2norm/CNN_ENG_20030402_190500.11
train,bn/timex2norm/CNN_ENG_20030403_060032.0
train,bn/timex2norm/CNN_ENG_20030403_080032.9
train,bn/timex2norm/CNN_ENG_20030403_090032.1
train,bn/timex2norm/CNN_ENG_20030403_180511.16
train,bn/timex2norm/CNN_ENG_20030403_183513.1
train,bn/timex2norm/CNN_ENG_20030404_073033.4
train,bn/timex2norm/CNN_ENG_20030404_163526.10
train,bn/timex2norm/CNN_ENG_20030407_080037.12
train,bn/timex2norm/CNN_ENG_20030407_130604.10
train,bn/timex2norm/CNN_ENG_20030407_170605.7
train,bn/timex2norm/CNN_ENG_20030408_083034.11
train,bn/timex2norm/CNN_ENG_20030408_123613.0
train,bn/timex2norm/CNN_ENG_20030408_153616.9
train,bn/timex2norm/CNN_ENG_20030408_200618.14
train,bn/timex2norm/CNN_ENG_20030409_180633.8
train,bn/timex2norm/CNN_ENG_20030410_183644.8
train,bn/timex2norm/CNN_ENG_20030411_193701.3
train,bn/timex2norm/CNN_ENG_20030411_233701.11
train,bn/timex2norm/CNN_ENG_20030414_130735.7
train,bn/timex2norm/CNN_ENG_20030415_103039.0
train,bn/timex2norm/CNN_ENG_20030415_173752.0
train,bn/timex2norm/CNN_ENG_20030415_180754.5
train,bn/timex2norm/CNN_ENG_20030415_183752.14
train,bn/timex2norm/CNN_ENG_20030416_100042.7
train,bn/timex2norm/CNN_ENG_20030416_160804.4
train,bn/timex2norm/CNN_ENG_20030416_180808.15
train,bn/timex2norm/CNN_ENG_20030416_190806.4
train,bn/timex2norm/CNN_ENG_20030417_063039.0
train,bn/timex2norm/CNN_ENG_20030417_073039.2
train,bn/timex2norm/CNN_ENG_20030418_063040.1
train,bn/timex2norm/CNN_ENG_20030418_083040.11
train,bn/timex2norm/CNN_ENG_20030418_130831.5
train,bn/timex2norm/CNN_ENG_20030418_163834.14
train,bn/timex2norm/CNN_ENG_20030421_090007.11
train,bn/timex2norm/CNN_ENG_20030421_120508.13
train,bn/timex2norm/CNN_ENG_20030421_120508.17
train,bn/timex2norm/CNN_ENG_20030421_133510.6
train,bn/timex2norm/CNN_ENG_20030422_083005.10
train,bn/timex2norm/CNN_ENG_20030422_213527.4
train,bn/timex2norm/CNN_ENG_20030423_180539.2
train,bn/timex2norm/CNN_ENG_20030424_073006.4
train,bn/timex2norm/CNN_ENG_20030424_113549.11
train,bn/timex2norm/CNN_ENG_20030424_173553.8
train,bn/timex2norm/CNN_ENG_20030424_183556.7
train,bn/timex2norm/CNN_ENG_20030425_063006.5
train,bn/timex2norm/CNN_ENG_20030425_133605.6
train,bn/timex2norm/CNN_ENG_20030426_160621.0
train,bn/timex2norm/CNN_ENG_20030428_130651.4
train,bn/timex2norm/CNN_ENG_20030428_173654.13
train,bn/timex2norm/CNN_ENG_20030428_193655.2
